variation_code,grade,thickness,tube_size,tlength,t_wt,b_qty,m_wt
,304,0.9,Round-22.23,20,2.94,0,0
,304,1.2,Round-22.23,20,3.87,0,0
,304,1.5,Round-22.23,20,4.77,0,0
,304,0.9,Round-48.00,20,6.5,0,0
,304,1.2,Round-48.00,20,8.61,0,0
,304,1.5,Round-48.00,20,10.7,0,0
,304,0.9,Round-63.50,20,8.64,0,0
,304,1.2,Round-63.50,20,11.46,0,0
,304,1.5,Round-63.50,20,14.26,0,0
,304,0.9,Square-15 X 15,20,2.5,0,0
,304,0.9,Square-30 X 30,20,5.13,0,0
,304,0.9,Rectangle-80 X 40,20,10.39,0,0
,304,0.9,Square-12 X 12,20,2.07,24,0
,304,0.9,Square-20 X 20,20,3.38,16,0
,304,0.9,Round-31.75,20,4.26,10,0
,304,0.9,Square-25 X 25,20,4.26,12,0
,304,0.9,Round-38.10,18,4.62,10,0
,304,1.2,Round-38.10,18,6.11,7,0
,304,1.5,Round-38.10,18,7.58,7,0
,304,0.9,Rectangle-40 X 20,20,8.42,9,0
,304,0.9,Square-40 X 40,18,6.2,9,0
,304,1.2,Square-40 X 40,18,8.21,6,0
,304,1.5,Square-40 X 40,18,10.21,6,0
,304,0.9,Square-40 X 40,20,6.89,6,0
,304,0.9,Square-50 X 50,20,8.64,6,0
,304,1.2,Square-50 X 50,20,11.46,4,1000
,304,1.5,Square-50 X 50,20,14.26,4,1000
,304,1.2,Rectangle-75 X 25,20,11.46,4,1000
,304,1.5,Rectangle-75 X 25,20,14.26,4,0
,304,0.9,Rectangle-26 X 13,20,3.38,12,0
,304,1.2,Rectangle-26 X 13,20,4.45,10,1000
,304,1.2,Round-12.70,20,2.12,20,1000
,304,1.5,Round-12.70,20,2.58,20,1000
,304,0.9,Round-25.40,20,3.38,15,0
,304,1.2,Round-25.40,20,4.45,15,1000
,304,1.5,Round-25.40,20,5.5,10,1000
,304,1.2,Round-31.75,20,5.62,10,500
,304,1.5,Round-31.75,20,6.96,10,500
,304,1.5,Round-38.10,20,8.42,7,2000
,304,1.2,Round-76.20,20,13.8,3,1000
,304,1.5,Round-76.20,20,17.18,3,1000
,304,1.2,Square-20 X 20,20,4.45,12,4000
,304,1.2,Square-30 X 30,20,6.79,0,1000
,304,1.5,Square-30 X 30,20,8.42,0,1000
,304,1.2,Rectangle-40 X 20,20,6.79,9,1000
,304,1.5,Rectangle-40 X 20,20,8.42,6,1000
,304,1.2,Square-40 X 40,20,9.13,6,2000
,304,0.9,Rectangle-50 X 25,20,6.5,9,0
,304,0.9,Rectangle-75 X 25,20,8.64,6,0
,304,0.9,Round-15.88,20,2.07,24,1000
,304,0.9,Round-50.80,20,6.89,7,2000
,304,0.9,Round-76.20,20,10.39,3,0
,304,1.2,Square-25 X 25,20,5.62,10,4000
,304,1.5,Square-25 X 25,20,6.96,10,4000
,304,1.5,Square-12 X 12,20,3.31,16,3000
,304,1.5,Square-15 X 15,20,4.04,0,1000
,304,1.2,Rectangle-50 X 25,20,8.6,6,1000
,304,0.9,Round-12.70,20,1.63,25,500
,304,1.2,Square-12 X 12,20,2.7,20,2500
,304,1.5,Round-15.88,20,3.31,20,1000
,304,1.2,Round-15.88,20,2.7,20,1500
,304,1.2,Square-15 X 15,20,3.28,0,1000
,304,0.9,Round-19.05,20,2.5,20,3000
,304,1.2,Round-19.05,20,3.28,16,15000
,304,1.5,Round-19.05,20,4.04,13,5000
,304,1.5,Square-20 X 20,20,5.5,12,3000
,304,1.5,Rectangle-26 X 13,20,5.5,10,500
,304,1.2,Round-38.10,20,6.79,7,3000
,304,0.9,Round-38.10,20,5.13,10,1500
,304,1.5,Square-40 X 40,20,11.34,6,2500
,304,1.2,Round-50.80,20,9.13,5,8000
,304,1.5,Round-50.80,20,11.34,5,4000
,304,1.5,Rectangle-50 X 25,20,10.7,0,500
,304,1.2,Rectangle-80 X 40,20,13.8,0,500
,304,1.5,Rectangle-80 X 40,20,17.18,0,500
,304,0.8,Square-40 X 40,20,6,9,0
,304,0.8,Round-38.10,20,4.5,10,0
,304,0.6,Round-12.70,20,1.1,25,0
,304,0.6,Round-38.10,20,3.3,12,0
,304,0.6,Rectangle-26 X 13,20,2.2,12,0
,304,1.5,Rectangle-20 X 10,20,3.85,12,1000
,304,1.2,Rectangle-20 X 10,20,3.2,14,1000
,304,0.9,Round-76.20,12,6.2,3,0
,304,0.7,Round-38.10,20,4,10,0
,304,0.7,Square-40 X 40,20,5.25,9,0
,304,1.2,Rectangle-40 X 10,20,5.5,10,0
,304,1.5,Rectangle-40 X 10,20,6.75,8,0
,JT,0.78,Round-22.23,20,2.57,0,0
,JT,0.9,Round-22.23,20,2.94,0,0
,JT,1.15,Round-22.23,20,3.72,0,0
,JT,1.45,Round-22.23,20,4.62,0,0
,JT,2,Round-42.20,20,12.33,0,0
,JT,0.78,Round-48.00,20,5.65,0,0
,JT,0.9,Round-48.00,20,6.5,0,0
,JT,1.15,Round-48.00,20,8.26,0,0
,JT,1.45,Round-48.00,20,10.35,0,0
,JT,0.78,Round-63.50,20,7.5,0,0
,JT,0.9,Round-63.50,20,8.64,0,0
,JT,1.15,Round-63.50,20,10.99,0,0
,JT,1.45,Round-63.50,20,13.8,0,0
,JT,0.78,Square-15 X 15,20,2.19,0,0
,JT,0.9,Square-15 X 15,20,2.5,0,0
,JT,0.78,Square-30 X 30,20,4.46,0,0
,JT,0.9,Square-30 X 30,20,5.13,0,0
,JT,2,Round-42.20,10,6.16,0,0
,JT,0.78,Rectangle-80 X 40,20,9.02,0,0
,JT,0.9,Rectangle-80 X 40,20,10.39,0,0
,JT,1.45,Round-12.70,20,2.5,20,500
,JT,0.78,Square-12 X 12,20,1.81,24,0
,JT,0.9,Round-15.88,20,2.07,24,1000
,JT,0.9,Round-19.05,20,2.5,20,3000
,JT,1.45,Round-25.40,20,5.32,10,1000
,JT,0.9,Round-31.75,20,4.26,10,0
,JT,1.45,Round-31.75,20,6.74,10,0
,JT,0.78,Round-38.10,18,4.02,10,0
,JT,0.9,Round-38.10,18,4.62,10,0
,JT,1.15,Round-38.10,18,5.86,7,0
,JT,1.45,Round-38.10,18,7.33,7,0
,JT,1.45,Rectangle-40 X 20,20,8.15,6,1000
,JT,1.45,Square-40 X 40,18,9.87,6,0
,JT,0.9,Square-40 X 40,20,6.89,6,1000
,JT,2,Round-19.05,20,5,10,0
,JT,0.78,Round-15.88,20,1.81,30,1000
,JT,1.45,Round-38.10,20,8.15,7,1000
,JT,0.9,Round-76.20,20,10.39,3,1000
,JT,1.45,Round-76.20,20,16.62,3,1000
,JT,0.9,Square-12 X 12,20,2.07,24,500
,JT,0.9,Square-20 X 20,20,3.38,16,500
,JT,0.9,Square-25 X 25,20,4.26,12,500
,JT,0.9,Rectangle-26 X 13,20,3.38,12,0
,JT,0.9,Square-40 X 40,18,6.2,9,1000
,JT,1.15,Square-40 X 40,18,7.88,6,1000
,JT,1.45,Square-40 X 40,20,10.97,6,3000
,JT,0.9,Rectangle-75 X 25,20,8.64,6,3000
,JT,0.68,Round-22.23,20,2.25,0,0
,JT,0.68,Rectangle-26 X 13,20,2.56,12,1000
,JT,1.15,Rectangle-26 X 13,20,4.28,10,3000
,JT,0.78,Rectangle-26 X 13,20,2.94,12,1000
