width,type,dim
35.50,Round,12.70
36.00,Round,12.70
36.50,Round,12.70
37.00,Round,12.70
37.50,Round,12.70
38.00,Round,12.70
38.50,Round,12.70
39.00,Round,12.70
39.50,Round,12.70
40.00,Round,12.70
45.50,Round,15.88
45.50,Square,12 X 12
46.00,Round,15.88
46.00,Square,12 X 12
46.50,Round,15.88
46.50,Square,12 X 12
47.00,Round,15.88
47.00,Square,12 X 12
47.50,Round,15.88
47.50,Square,12 X 12
48.00,Round,15.88
48.00,Square,12 X 12
48.50,Round,15.88
48.50,Square,12 X 12
49.00,Round,15.88
49.00,Square,12 X 12
49.50,Round,15.88
49.50,Square,12 X 12
50.00,Round,15.88
50.00,Square,12 X 12
55.50,Round,19.05
55.50,Square,15 X 15
56.00,Round,19.05
56.00,Square,15 X 15
56.50,Round,19.05
56.50,Square,15 X 15
56.50,Rectangle,20 X 10
57.00,Round,19.05
57.00,Square,15 X 15
57.00,Rectangle,20 X 10
57.50,Round,19.05
57.50,Square,15 X 15
58.00,Round,19.05
58.00,Square,15 X 15
58.50,Round,19.05
58.50,Square,15 X 15
59.00,Round,19.05
59.00,Square,15 X 15
59.50,Round,19.05
59.50,Square,15 X 15
60.00,Round,19.05
60.00,Square,15 X 15
67.00,Round,22.23
67.50,Round,22.23
68.00,Round,22.23
68.50,Round,22.23
69.00,Round,22.23
69.50,Round,22.23
74.50,Round,25.40
74.50,Square,20 X 20
74.50,Rectangle,26 X 13
75.50,Round,25.40
75.50,Square,20 X 20
75.50,Rectangle,26 X 13
76.00,Round,25.40
76.00,Square,20 X 20
76.00,Rectangle,26 X 13
76.50,Round,25.40
76.50,Square,20 X 20
76.50,Rectangle,26 X 13
77.00,Round,25.40
77.00,Square,20 X 20
77.00,Rectangle,26 X 13
77.00,Oval,33 X 13
77.50,Round,25.40
77.50,Square,20 X 20
77.50,Rectangle,26 X 13
77.50,Oval,33 X 13
78.00,Round,25.40
78.00,Square,20 X 20
78.00,Rectangle,26 X 13
78.00,Oval,33 X 13
78.50,Round,25.40
78.50,Square,20 X 20
78.50,Rectangle,26 X 13
78.50,Oval,33 X 13
79.00,Round,25.40
79.00,Square,20 X 20
79.00,Rectangle,26 X 13
79.00,Oval,33 X 13
79.50,Round,25.40
79.50,Square,20 X 20
79.50,Rectangle,26 X 13
80.00,Round,25.40
80.00,Square,20 X 20
80.00,Rectangle,26 X 13
95.50,Round,31.75
95.50,Square,25 X 25
96.00,Round,31.75
96.00,Square,25 X 25
96.50,Round,31.75
96.50,Square,25 X 25
96.50,Rectangle,40 X 10
97.00,Round,31.75
97.00,Square,25 X 25
97.00,Rectangle,40 X 10
97.50,Round,31.75
97.50,Square,25 X 25
98.00,Round,31.75
98.00,Square,25 X 25
98.50,Round,31.75
98.50,Square,25 X 25
99.00,Round,31.75
99.00,Square,25 X 25
99.50,Round,31.75
99.50,Square,25 X 25
100.00,Round,31.75
100.00,Square,25 X 25
115.50,Round,38.10
115.50,Square,30 X 30
115.50,Rectangle,40 X 20
116.00,Round,38.10
116.00,Square,30 X 30
116.00,Rectangle,40 X 20
116.50,Round,38.10
116.50,Square,30 X 30
116.50,Rectangle,40 X 20
117.00,Round,38.10
117.00,Square,30 X 30
117.00,Rectangle,40 X 20
117.50,Round,38.10
117.50,Square,30 X 30
117.50,Rectangle,40 X 20
118.00,Round,38.10
118.00,Square,30 X 30
118.00,Rectangle,40 X 20
118.50,Round,38.10
118.50,Square,30 X 30
118.50,Rectangle,40 X 20
119.00,Round,38.10
119.00,Square,30 X 30
119.00,Rectangle,40 X 20
119.50,Round,38.10
119.50,Square,30 X 30
119.50,Rectangle,40 X 20
120.00,Round,38.10
120.00,Square,30 X 30
120.00,Rectangle,40 X 20
128.00,Round,42.20
128.50,Round,42.20
129.00,Round,42.20
129.50,Round,42.20
130.00,Round,42.20
146.50,Round,48.00
146.50,Rectangle,50 X 25
147.00,Round,48.00
147.00,Rectangle,50 X 25
147.50,Round,48.00
147.50,Rectangle,50 X 25
148.00,Round,48.00
148.00,Rectangle,50 X 25
148.50,Round,48.00
148.50,Rectangle,50 X 25
149.00,Round,48.00
149.00,Rectangle,50 X 25
149.50,Round,48.00
149.50,Rectangle,50 X 25
150.00,Round,48.00
150.00,Rectangle,50 X 25
155.50,Round,50.80
155.50,Square,40 X 40
156.00,Round,50.80
156.00,Square,40 X 40
156.50,Round,50.80
156.50,Square,40 X 40
157.00,Round,50.80
157.00,Square,40 X 40
157.50,Round,50.80
157.50,Square,40 X 40
158.00,Round,50.80
158.00,Square,40 X 40
158.50,Round,50.80
158.50,Square,40 X 40
159.00,Round,50.80
159.00,Square,40 X 40
159.50,Round,50.80
159.50,Square,40 X 40
160.00,Round,50.80
160.00,Square,40 X 40
195.50,Round,63.50
195.50,Square,50 X 50
195.50,Rectangle,75 X 25
196.00,Round,63.50
196.00,Square,50 X 50
196.00,Rectangle,75 X 25
196.50,Round,63.50
196.50,Square,50 X 50
196.50,Rectangle,75 X 25
197.00,Round,63.50
197.00,Square,50 X 50
197.00,Rectangle,75 X 25
197.50,Round,63.50
197.50,Square,50 X 50
197.50,Rectangle,75 X 25
198.00,Round,63.50
198.00,Square,50 X 50
198.00,Rectangle,75 X 25
198.50,Round,63.50
198.50,Square,50 X 50
198.50,Rectangle,75 X 25
199.00,Round,63.50
199.00,Square,50 X 50
199.00,Rectangle,75 X 25
199.50,Round,63.50
199.50,Square,50 X 50
199.50,Rectangle,75 X 25
200.00,Round,63.50
200.00,Square,50 X 50
200.00,Rectangle,75 X 25
235.50,Round,76.20
235.50,Rectangle,80 X 40
236.00,Round,76.20
236.00,Rectangle,80 X 40
236.50,Round,76.20
236.50,Rectangle,80 X 40
237.00,Round,76.20
237.00,Rectangle,80 X 40
237.50,Round,76.20
237.50,Rectangle,80 X 40
238.00,Round,76.20
238.00,Rectangle,80 X 40
238.50,Round,76.20
238.50,Rectangle,80 X 40
239.00,Round,76.20
239.00,Rectangle,80 X 40
239.50,Round,76.20
239.50,Rectangle,80 X 40
240.00,Round,76.20
240.00,Rectangle,80 X 40
